longitude,latitude,forecast_date,param,param_tag,54h,60h,66h,72h
89.25,27.75,14-09-2025,precipitation,tp,0.007034302,0.009750366,0.01348877,0.014297485
89.5,27.75,14-09-2025,precipitation,tp,0.025680542,0.031402588,0.03652954,0.03993225
89.75,27.75,14-09-2025,precipitation,tp,0.009979248,0.010726929,0.012252808,0.014266968
90,27.75,14-09-2025,precipitation,tp,0.01298523,0.014129639,0.017532349,0.01777649
90.25,27.75,14-09-2025,precipitation,tp,0.012191772,0.017044067,0.018936157,0.020050049
90.5,27.75,14-09-2025,precipitation,tp,0.012878418,0.014083862,0.014251709,0.01586914
90.75,27.75,14-09-2025,precipitation,tp,0.010681152,0.012268066,0.013031006,0.013656616
91,27.75,14-09-2025,precipitation,tp,0.010314941,0.01524353,0.023590088,0.027420044
91.25,27.75,14-09-2025,precipitation,tp,0.023330688,0.031295776,0.033416748,0.033706665
91.5,27.75,14-09-2025,precipitation,tp,0.005386353,0.012664795,0.014907837,0.015304565
91.75,27.75,14-09-2025,precipitation,tp,0.007095337,0.00894165,0.012741089,0.01739502
92,27.75,14-09-2025,precipitation,tp,0.004302979,0.005722046,0.006896973,0.008422852
88.75,27.5,14-09-2025,precipitation,tp,0.035186768,0.04386902,0.06159973,0.06561279
89,27.5,14-09-2025,precipitation,tp,0.015563965,0.019134521,0.028213501,0.028396606
89.25,27.5,14-09-2025,precipitation,tp,0.012832642,0.018920898,0.026290894,0.02722168
89.5,27.5,14-09-2025,precipitation,tp,0.03515625,0.043823242,0.050338745,0.052368164
89.75,27.5,14-09-2025,precipitation,tp,0.0105896,0.014556885,0.018447876,0.020812988
90,27.5,14-09-2025,precipitation,tp,0.032791138,0.044448853,0.046279907,0.04698181
90.25,27.5,14-09-2025,precipitation,tp,0.015182495,0.021514893,0.02848816,0.035369873
90.5,27.5,14-09-2025,precipitation,tp,0.009231567,0.009567261,0.009735107,0.012710571
90.75,27.5,14-09-2025,precipitation,tp,0.01914978,0.029510498,0.030319214,0.033615112
91,27.5,14-09-2025,precipitation,tp,0.009658814,0.014389038,0.01600647,0.016555786
91.25,27.5,14-09-2025,precipitation,tp,0.03579712,0.042510986,0.043319702,0.04335022
91.5,27.5,14-09-2025,precipitation,tp,0.014846802,0.021911621,0.025787354,0.027191162
91.75,27.5,14-09-2025,precipitation,tp,0.011932373,0.016571045,0.0262146,0.0317688
92,27.5,14-09-2025,precipitation,tp,0.005523682,0.00769043,0.014221191,0.022247314
88.75,27.25,14-09-2025,precipitation,tp,0.019073486,0.02748108,0.03819275,0.03866577
89,27.25,14-09-2025,precipitation,tp,0.013763428,0.02268982,0.024414062,0.024429321
89.25,27.25,14-09-2025,precipitation,tp,0.015197754,0.017349243,0.024093628,0.024093628
89.5,27.25,14-09-2025,precipitation,tp,0.032730103,0.03729248,0.042877197,0.04512024
89.75,27.25,14-09-2025,precipitation,tp,0.032989502,0.034820557,0.034988403,0.03918457
90,27.25,14-09-2025,precipitation,tp,0.023864746,0.02482605,0.025253296,0.02798462
90.25,27.25,14-09-2025,precipitation,tp,0.056274414,0.058380127,0.06321716,0.06814575
90.5,27.25,14-09-2025,precipitation,tp,0.0027771,0.003631592,0.014556885,0.027160645
90.75,27.25,14-09-2025,precipitation,tp,0.017456055,0.018981934,0.020401001,0.022262573
91,27.25,14-09-2025,precipitation,tp,0.026245117,0.030838013,0.032440186,0.03440857
91.25,27.25,14-09-2025,precipitation,tp,0.016326904,0.01902771,0.020217896,0.021652222
91.5,27.25,14-09-2025,precipitation,tp,0.020690918,0.031814575,0.035339355,0.036636353
91.75,27.25,14-09-2025,precipitation,tp,0.024398804,0.027511597,0.04006958,0.05671692
92,27.25,14-09-2025,precipitation,tp,0.018096924,0.019256592,0.027862549,0.031204224
88.75,27,14-09-2025,precipitation,tp,0.006164551,0.009063721,0.010101318,0.011276245
89,27,14-09-2025,precipitation,tp,0.030700684,0.047546387,0.05142212,0.052856445
89.25,27,14-09-2025,precipitation,tp,0.02255249,0.02960205,0.030059814,0.030319214
89.5,27,14-09-2025,precipitation,tp,0.05847168,0.07116699,0.073913574,0.08076477
89.75,27,14-09-2025,precipitation,tp,0.070892334,0.072128296,0.07258606,0.07936096
90,27,14-09-2025,precipitation,tp,0.012298584,0.01625061,0.018249512,0.026611328
90.25,27,14-09-2025,precipitation,tp,0.02999878,0.032424927,0.037826538,0.04586792
90.5,27,14-09-2025,precipitation,tp,0.017364502,0.019439697,0.030685425,0.036392212
90.75,27,14-09-2025,precipitation,tp,0.042160034,0.046691895,0.050933838,0.061904907
91,27,14-09-2025,precipitation,tp,0.019958496,0.023666382,0.026870728,0.039520264
91.25,27,14-09-2025,precipitation,tp,0.019119263,0.023406982,0.024719238,0.032989502
91.5,27,14-09-2025,precipitation,tp,0.016525269,0.02142334,0.02217102,0.030822754
91.75,27,14-09-2025,precipitation,tp,0.01626587,0.021743774,0.024414062,0.02809143
92,27,14-09-2025,precipitation,tp,0.06135559,0.07002258,0.07144165,0.07229614
88.75,26.75,14-09-2025,precipitation,tp,0.020050049,0.020462036,0.026992798,0.028442383
89,26.75,14-09-2025,precipitation,tp,0.0259552,0.026275635,0.028869629,0.029937744
89.25,26.75,14-09-2025,precipitation,tp,0.030151367,0.030532837,0.03413391,0.035369873
89.5,26.75,14-09-2025,precipitation,tp,0.02180481,0.023498535,0.034561157,0.03831482
89.75,26.75,14-09-2025,precipitation,tp,0.021820068,0.022994995,0.026245117,0.029754639
90,26.75,14-09-2025,precipitation,tp,0.040802002,0.04536438,0.05253601,0.05996704
90.25,26.75,14-09-2025,precipitation,tp,0.061965942,0.06463623,0.07759094,0.09564209
90.5,26.75,14-09-2025,precipitation,tp,0.055755615,0.058258057,0.07048035,0.08482361
90.75,26.75,14-09-2025,precipitation,tp,0.027618408,0.029067993,0.042388916,0.05230713
91,26.75,14-09-2025,precipitation,tp,0.01864624,0.019485474,0.030914307,0.05039978
91.25,26.75,14-09-2025,precipitation,tp,0.00881958,0.009475708,0.019378662,0.040222168
91.5,26.75,14-09-2025,precipitation,tp,0.008621216,0.00894165,0.011764526,0.028533936
91.75,26.75,14-09-2025,precipitation,tp,0.01171875,0.014221191,0.02003479,0.032791138
92,26.75,14-09-2025,precipitation,tp,0.012756348,0.01335144,0.023406982,0.031723022
